beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Sand Point Beach,2022-07-26,1.4,5.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-08-02,8.5,5.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-08-09,2.8,3.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-08-16,126.6,7.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2022-08-23,2.2,6.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-05-23,1.7,1.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-05-30,1.4,1.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-06-06,11.5,3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-06-13,13.6,4.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-06-20,1.7,3.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-06-27,10.5,5.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-07-04,17.7,8.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-07-11,3.5,6.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-07-18,10.2,6.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-07-25,28.5,11.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-08-01,23.7,13.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-08-08,7,11.1,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-08-15,6.6,12.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2023-08-22,69.3,18.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-05-21,8,8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-06-04,12,9.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-06-11,3.5,6.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-06-18,1,4.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-06-25,10.6,4.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-07-02,9.2,5.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-07-09,92,7.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-07-16,10.2,9.8,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-07-23,23.5,18.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-07-30,38.7,23.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-08-06,9.4,24,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-08-13,28.8,19,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2024-08-20,14.5,20.4,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-05-20,25.3,25.3,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-05-27,1,5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-06-03,24.7,8.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-06-10,13,9.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-06-17,44.2,12.9,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-06-24,6.9,10,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-07-01,47.4,21.6,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-07-08,794.7,43.2,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-07-15,106.6,65.7,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-07-22,71.9,72.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-07-29,68.3,114.5,,N,NA,PriorLake,70002600,mpn
Sand Point Beach,2025-08-05,94.5,131.5,,Y,ecoli_30dayGM,PriorLake,70002600,mpn
Watzl's Beach,2014-06-24,151.6,151.6,,Y,ecoli_30dayGM,PriorLake,70002600,mpn
Watzl's Beach,2014-07-01,4.7,26.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-08,358.1,63.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-15,1.4,24.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-22,28.8,13.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2014-07-29,1,7.4,,N,NA,PriorLake,70002600,mpn
