Date,Ecoli_units,BeachName,Ecoli_1dGM,Ecoli_30dGM,ClosureYN,ClosureReason,MonitoringOrg,DOW
2007-06-11,NA,Crystal Beach,3.5568933044900626,3.747579339414326,N,NA,Burnsville,19002700
2007-06-18,NA,Crystal Beach,3.9148676411688634,3.7887190170237637,N,NA,Burnsville,19002700
2007-06-25,NA,Crystal Beach,11.035696705524481,4.691955338626511,N,NA,Burnsville,19002700
2007-07-02,NA,Crystal Beach,8.410832585210281,6.086620870815285,N,NA,Burnsville,19002700
2007-07-09,NA,Crystal Beach,13.608184231906733,7.06391344750536,N,NA,Burnsville,19002700
2007-07-17,NA,Crystal Beach,4.4479601811386305,7.386919731144737,N,NA,Burnsville,19002700
2007-07-23,NA,Crystal Beach,6.839903786706787,8.259047459090954,N,NA,Burnsville,19002700
2007-07-30,NA,Crystal Beach,7.113786608980125,7.564673309588129,N,NA,Burnsville,19002700
2007-08-06,NA,Crystal Beach,17.19385935474502,8.727644609891033,N,NA,Burnsville,19002700
2007-08-13,NA,Crystal Beach,8.572618882313394,7.9571898629815605,N,NA,Burnsville,19002700
2007-08-21,NA,Crystal Beach,67.13864510428793,13.693739348299623,N,NA,Burnsville,19002700
2007-08-27,NA,Crystal Beach,37.62888982348194,19.258228689851858,N,NA,Burnsville,19002700
2008-05-27,NA,Crystal Beach,1,1,N,NA,Burnsville,19002700
2008-06-02,NA,Crystal Beach,148.6825063949892,12.193543635670034,N,NA,Burnsville,19002700
2010-06-02,NA,Crystal Beach,75.87421483119688,75.87421483119688,N,NA,Burnsville,19002700
2010-06-07,NA,Crystal Beach,8.247473974122565,25.015407494727736,N,NA,Burnsville,19002700
2010-06-15,NA,Crystal Beach,26.38097803294907,25.46255725994678,N,NA,Burnsville,19002700
2010-06-21,NA,Crystal Beach,11.887843905526259,21.04758574549919,N,NA,Burnsville,19002700
2010-06-28,NA,Crystal Beach,157.68006616484226,31.485978073152864,N,NA,Burnsville,19002700
2010-07-06,NA,Crystal Beach,125.38441657925357,34.81344964336735,N,NA,Burnsville,19002700
2010-07-12,NA,Crystal Beach,7.559526299369238,34.212261674302624,N,NA,Burnsville,19002700
2010-07-19,NA,Crystal Beach,8.434326653017491,27.23539573291106,N,NA,Burnsville,19002700
2010-07-26,NA,Crystal Beach,38.047954232309976,34.36998426558993,N,NA,Burnsville,19002700
2010-08-02,NA,Crystal Beach,11.477587096634332,20.3513908032014,N,NA,Burnsville,19002700
2010-08-09,NA,Crystal Beach,25.837247643657506,14.838658188948084,N,NA,Burnsville,19002700
2010-08-16,NA,Crystal Beach,50.65797019100885,21.708272834989298,N,NA,Burnsville,19002700
2011-06-02,cfu,Crystal Beach,8.962809493114328,8.962809493114328,N,NA,Burnsville,19002700
2011-06-07,cfu,Crystal Beach,12.198100573234267,10.4560629118109,N,NA,Burnsville,19002700
2011-06-14,cfu,Crystal Beach,12.082761235960547,10.972380415096907,N,NA,Burnsville,19002700
2011-06-21,cfu,Crystal Beach,509.5093320041715,28.642681773868222,N,NA,Burnsville,19002700
