Date,BeachName,Ecoli_1dGM,Notes,Ecoli_30dGM,ClosureYN,ClosureReason,Ecoli_units,MonitoringOrg,DOW
2025-06-10,Griffing,0.5,Open,1.9171670348686833,N,NA,mpn,Wright County,NA
2025-06-16,Griffing,15.8,Open,2.7247467412076283,N,NA,mpn,Wright County,NA
2025-06-24,Griffing,2,Open,1.77806587554028,N,NA,mpn,Wright County,NA
2025-06-30,Griffing,66.87301398920195,Open,5.441783609314306,N,NA,mpn,Wright County,NA
2025-07-07,Griffing,41.4,Open,11.958954232554289,N,NA,mpn,Wright County,NA
2025-07-14,Griffing,0.5,Open,11.958954232554289,N,NA,mpn,Wright County,NA
2025-07-21,Griffing,0.5,Open,6.725821802817324,N,NA,mpn,Wright County,NA
2004-08-05,Pleasant,2,None,2,N,NA,mpn,Wright County,86025100
2016-08-03,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2017-07-12,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2017-09-12,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2018-06-06,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2018-08-13,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2019-08-06,Pleasant,2,None,2,N,NA,mpn,Wright County,86025100
2020-05-27,Pleasant,4.1,None,4.1,N,NA,mpn,Wright County,86025100
2020-06-23,Pleasant,1,None,2.0248456731316584,N,NA,mpn,Wright County,86025100
2020-07-21,Pleasant,32,None,5.656854249492381,N,NA,mpn,Wright County,86025100
2020-07-28,Pleasant,1,None,5.656854249492381,N,NA,mpn,Wright County,86025100
2020-08-11,Pleasant,1,None,3.1748021039363987,N,NA,mpn,Wright County,86025100
2020-09-16,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2021-06-07,Pleasant,19.7,None,19.7,N,NA,mpn,Wright County,86025100
2021-07-28,Pleasant,980.4,Closed,980.4,Y,Ecoli_30dGM,mpn,Wright County,86025100
2021-08-02,Pleasant,2.213363839400643,Reopen,7.487259901878751,N,NA,mpn,Wright County,86025100
2022-07-05,Pleasant,2,None,2,N,NA,mpn,Wright County,86025100
2022-08-08,Pleasant,4.1,None,4.1,N,NA,mpn,Wright County,86025100
2022-08-31,Pleasant,7.5,None,5.545268253204708,N,NA,mpn,Wright County,86025100
2023-06-26,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2023-07-31,Pleasant,24.6,None,24.6,N,NA,mpn,Wright County,86025100
2023-08-14,Pleasant,2,None,7.014271166700073,N,NA,mpn,Wright County,86025100
2023-08-30,Pleasant,13.4,None,8.703420507303333,N,NA,mpn,Wright County,86025100
2024-05-20,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2024-05-28,Pleasant,1,None,1,N,NA,mpn,Wright County,86025100
2024-06-03,Pleasant,1.4142135623730951,None,1.189207115002721,N,NA,mpn,Wright County,86025100
2024-06-10,Pleasant,0.5,None,1,N,NA,mpn,Wright County,86025100
2024-06-17,Pleasant,3.1,None,1.2075180064192466,N,NA,mpn,Wright County,86025100
2024-06-24,Pleasant,1,None,1.2075180064192466,N,NA,mpn,Wright County,86025100
2024-07-01,Pleasant,7.5,None,2.0903164173273834,N,NA,mpn,Wright County,86025100
2024-07-08,Pleasant,1,None,2.105760803485319,N,NA,mpn,Wright County,86025100
2024-07-17,Pleasant,1,None,2.363636584729722,N,NA,mpn,Wright County,86025100
2024-07-22,Pleasant,1,None,1.9574338205844317,N,NA,mpn,Wright County,86025100
2024-07-29,Pleasant,0.5,None,1.7438752816032173,N,NA,mpn,Wright County,86025100
2024-08-05,Pleasant,3.1,None,1.0916070695892885,N,NA,mpn,Wright County,86025100
